arm,label,is_probe,power,seed,sigma,rmse,rel_l1,rel_l2,rel_linf,edge_band_rmse,interior_rmse,edge_interior_ratio,edge_band_px,edge_sharpness_ratio,grad_rmse_band,grad_corr,boundary_precision,boundary_recall,boundary_f1,pred_boundary_px,true_boundary_px,fg_iou_fixed_thr,boundary_f1_otsu,fg_iou_otsu,otsu_threshold,invalid,runtime_s,final_loss,n_iters,lengthscale_0,lengthscale_1,outputscale,noise,n_nonfinite_loss,n_cholesky_retries,failed,failure_reason,inference,num_inducing,init_lengthscale,init_noise,lr,nu,dtype,n_train,loss_first,loss_min,tail_improve_frac,converged,inference_mode,snr_ratio
qep_q2p0,q=2.0,0,2.0,3,0.1,0.0930205522150183,0.3320205609989709,0.2773251882536249,0.4785807994117553,0.1608605695181153,0.0363466762040901,4.425729841564256,1223,1.0447200899412032,0.7863475511306064,0.9250984298246,1.0,1.0,1.0,236,225,0.9464882943143812,1.0,0.9772329246935202,0.4330713870389641,0.0,162.44675993919373,-0.3595444820361502,400,0.047932925505422,0.0449980579848256,0.0619748997309074,0.0185876947849568,0,0,0,,exact,0.0,0.04,0.1,0.02,2.5,float64,4096.0,0.2460226732041472,-0.4215205701736662,-0.0006265888369858,1.0,exact,3.3341896586909896
qep_q1p8,q=1.8,0,1.8,3,0.1,0.0921558470238408,0.3319831440611759,0.2747472146314851,0.4701506013556424,0.1586719972875953,0.037289238547094,4.255168608154926,1223,1.0530564353647542,0.7655150837991025,0.9290257006137308,1.0,1.0,1.0,236,225,0.948073701842546,1.0,0.9772329246935202,0.4355162493750573,0.0,180.27333617210388,-0.3605858290018085,400,0.0497395059532317,0.0462607667844384,0.030531631403989,0.0072042107416193,0,0,0,,exact,0.0,0.04,0.1,0.02,2.5,float64,4096.0,0.5263452427794828,-0.4374187283345035,0.0182887455406351,0.0,exact,4.238025857240035
qep_q1p5,q=1.5,0,1.5,3,0.1,0.0806226655122569,0.3778831024308893,0.2403629666593812,0.3443747008009867,0.102531794256094,0.0692230811634714,1.481179290675656,1223,1.1458536062515825,0.4153899013233728,0.96695143789712,1.0,1.0,1.0,226,225,0.9982363315696648,1.0,1.0,0.387138996987982,0.0,260.4368779659271,0.0973063622811019,400,0.0657517123669474,0.0576203976285698,0.1688178872146747,0.0002965867392806,0,0,0,,exact,0.0,0.04,0.1,0.02,2.5,float64,4096.0,0.9701953056967666,-0.3796601581873802,0.038863648125681,0.0,exact,569.2024114906786
qep_q1p2,q=1.2,0,1.2,3,0.1,0.1039182835451061,0.3634228834070338,0.3098149479969139,0.5213828686743822,0.1820352949443117,0.035917576401383,5.06813970157803,1223,1.0483838087176462,1.0007828012903603,0.8620002006027431,1.0,1.0,1.0,233,225,0.933665008291874,1.0,0.946917808219178,0.4237937155477054,0.0,178.07825827598572,-0.7470882590331578,400,0.2762326124469054,0.316256237986547,0.3422391830053039,0.0001089362111362,0,0,0,,exact,0.0,0.04,0.1,0.02,2.5,float64,4096.0,1.4401468512347702,-0.7596441720116625,0.0310787225082836,0.0,exact,3141.647570039053
qep_q1p0,q=1.0,0,1.0,3,0.1,0.1043301867217869,0.3613292389289971,0.3110429682923776,0.5030798555136482,0.1831889490089732,0.035114171298266,5.216952080484367,1223,1.042360765100373,1.0099235206796042,0.8588321978744826,1.0,1.0,1.0,233,225,0.929159802306425,1.0,0.940273037542662,0.4220702761322411,0.0,164.30446815490723,-0.2321299987592109,400,0.3251062878233184,0.3112555799236869,0.4185878671926241,0.0001073476776193,0,0,0,,exact,0.0,0.04,0.1,0.02,2.5,float64,4096.0,1.766206812642448,-0.3272998760171672,-0.0168720733303222,1.0,exact,3899.3658407507673
gp_control,GP control,0,,3,0.1,0.0929529755453171,0.3319418788968405,0.2771237197372574,0.4755343420774607,0.1606762890293087,0.0364470414330969,4.408486469999219,1223,1.0452429630108933,0.7846616821052856,0.9254571854192244,1.0,1.0,1.0,236,225,0.9464882943143812,1.0,0.9772329246935202,0.433516943877548,0.0,161.87313795089722,-0.3609816948829223,400,0.0479425605534279,0.0449504596717015,0.0623992367403439,0.0185534451162581,0,0,0,,exact,0.0,0.04,0.1,0.02,2.5,float64,4096.0,0.2399903782274028,-0.4097663669531033,-0.0013331403248331,1.0,exact,3.363215637276142
identity_noisy,no smoothing,0,,1,0.25,0.2507351917215291,1.20351605826205,0.7475249564768247,0.9379087418165896,0.2597497029536736,0.2467979333942125,1.052479246407518,1223,1.5412814119162364,1.099536480973484,0.7599667741921513,0.3274647887323944,1.0,0.493368700265252,1136,225,0.6229885057471264,0.4863813229571985,0.6139954853273137,0.3773218515868132,0.0,0.0,,0,,,,,0,0,0,,exact,,,,,,,,,,,,exact,
qep_q3p0,q=3.0 (probe),1,3.0,1,0.25,0.1469113308925604,0.6959564423844491,0.4379915139849277,0.6513602537010198,0.1743258186663885,0.1335443770945287,1.3053774517439458,1223,1.2358643982304776,0.8020938709497045,0.8401907352886373,0.7670807453416149,1.0,0.8681898066783831,322,225,0.9022801302931596,0.932301740812379,0.9308600337268128,0.4232695437509922,0.0,158.39285922050476,0.2491564165934083,400,0.0188225434484172,0.0177767697635834,1.4416260134809356,0.6430362991183728,0,0,0,,exact,0.0,0.04,0.25,0.02,2.5,float64,4096.0,2.141043357862273,0.2440586559004551,0.0003082742951637,1.0,exact,2.2419045634864774
qep_q2p0,q=2.0,0,2.0,1,0.25,0.1223966548737615,0.495762277778854,0.3649051155492883,0.5753234800589068,0.202857985037517,0.0619719432962796,3.273384280813654,1223,0.9637906108732254,1.0928535850115944,0.8335181797774761,1.0,1.0,1.0,229,225,0.9078947368421052,1.0,0.9165275459098498,0.401745569560728,0.0,154.7432210445404,0.2059266368383923,400,0.057856799536104,0.0553846040310356,0.0742567214845968,0.0724412296236661,0,0,0,,exact,0.0,0.04,0.25,0.02,2.5,float64,4096.0,0.6144128177944976,0.200929942114727,-0.005012621795592,1.0,exact,1.025061582614793
qep_q1p8,q=1.8,0,1.8,1,0.25,0.1235276590307694,0.5008225045262887,0.3682770149122681,0.5680439774628008,0.2052743917499399,0.0617838624274919,3.3224596793514656,1223,0.9661318291208372,1.1189777724626095,0.8222958855119135,1.0,1.0,1.0,230,225,0.8990228013029316,1.0,0.9041322314049588,0.4019977130551014,0.0,155.45708394050598,0.2079059283142443,400,0.0684681585682387,0.0657951333690479,0.0436015143536481,0.029103427121824,0,0,0,,exact,0.0,0.04,0.25,0.02,2.5,float64,4096.0,0.893850449583689,0.1890805070174447,0.000412164371175,1.0,exact,1.4981573878270957
qep_q1p5,q=1.5,0,1.5,1,0.25,0.126506874534062,0.5652373666832012,0.3771590466850848,0.6110481613378516,0.1787624576345361,0.0959865192148097,1.8623704567771735,1223,1.1612182044716977,0.8309233131460003,0.8740634824086272,0.9746835443037974,1.0,0.9871794871794872,237,225,0.9203980099502488,1.0,0.934010152284264,0.4268718082303612,0.0,183.004380941391,0.2598276941315949,400,0.0603240835607564,0.0581613378973855,0.0430790363432055,0.0034842845106258,0,0,0,,exact,0.0,0.04,0.25,0.02,2.5,float64,4096.0,1.3762773728865567,0.2126214481087671,0.0211416951895086,0.0,exact,12.363811339696891
qep_q1p2,q=1.2,0,1.2,1,0.25,0.1399708903194517,0.650054902318766,0.4172997534796647,0.6469366187485561,0.1775930820596706,0.1204407309132682,1.4745267710767953,1223,1.276416398126872,0.8125935018452286,0.8552151172383905,0.8939393939393939,1.0,0.944,264,225,0.9209225700164744,0.9559748427672956,0.930976430976431,0.4363662917502797,0.0,241.63055682182312,0.8218607372474684,400,0.1322429536171341,0.1130763182798474,0.189820033109454,0.0001494992745431,0,0,0,,exact,0.0,0.04,0.25,0.02,2.5,float64,4096.0,1.867669102752518,0.4153305012584076,-0.0168891928094006,1.0,exact,1269.70537943801
qep_q1p0,q=1.0,0,1.0,1,0.25,0.1243109363081543,0.5371282055691996,0.3706122248549423,0.597445619659259,0.18777957094673,0.0837926601559922,2.241002620004556,1223,1.1060094252499533,0.9410994117856204,0.8562386789981603,0.9914163090128756,1.0,0.9956896551724138,233,225,0.9095394736842104,0.9956331877729258,0.916247906197655,0.4227793604193604,0.0,202.5793709754944,0.6580554455803918,400,0.2066224259261881,0.2274077109244153,0.1726405728975928,0.0001110868457386,0,0,0,,exact,0.0,0.04,0.25,0.02,2.5,float64,4096.0,2.206939898801116,0.521770199230597,0.0190628471991349,0.0,exact,1554.1045544117412
gp_control,GP control,0,,1,0.25,0.1223560014225866,0.4957729297478529,0.3647839140972245,0.5752341164023086,0.2027116004661432,0.06206133096629,3.2663108784478134,1223,0.964386075273788,1.0915344436853651,0.8339161540680838,1.0,1.0,1.0,229,225,0.9078947368421052,1.0,0.9165275459098498,0.401622103008021,0.0,156.29553413391113,0.205467895811009,400,0.0576867273437811,0.0552449036237302,0.0742945801927065,0.0724095422974165,0,0,0,,exact,0.0,0.04,0.25,0.02,2.5,float64,4096.0,0.6101643794364876,0.200987558810726,0.0013897148899362,1.0,exact,1.0260330038760272
identity_noisy,no smoothing,0,,2,0.25,0.2504741892764577,1.208513191165891,0.7467468214250488,0.9180335901418346,0.2498624295065581,0.2507341547914872,0.9965233085789448,1223,1.5234560715779102,1.040243830610395,0.767763424884565,0.3254759746146872,1.0,0.4911080711354309,1103,225,0.6400937866354045,0.4996326230712711,0.6646341463414634,0.3979140604654513,0.0,0.0,,0,,,,,0,0,0,,exact,,,,,,,,,,,,exact,
qep_q3p0,q=3.0 (probe),1,3.0,2,0.25,0.1445372055633341,0.6915176302241527,0.430913457166436,0.5821882363186092,0.164435302321513,0.1351809616884331,1.2164087329139268,1223,1.2475374083541155,0.7755015385323968,0.8477395454242602,0.7617554858934169,1.0,0.8647686832740212,319,225,0.9102773246329527,0.952965235173824,0.9516407599309152,0.4382686495143073,0.0,159.20210599899292,0.2548606429870432,400,0.0194015518285993,0.0177123529763225,1.5139097457383088,0.6522516587992976,0,0,0,,exact,0.0,0.04,0.25,0.02,2.5,float64,4096.0,2.221378052413253,0.2548606429870432,0.0051175358084471,1.0,exact,2.3210515838705588
qep_q2p0,q=2.0,0,2.0,2,0.25,0.1200418228746461,0.4867465582311092,0.3578845785613891,0.5304343664779936,0.1970911463213326,0.0633120647871056,3.1130108769011904,1223,1.0014044138345866,1.0880750907455157,0.8307951867574976,1.0,1.0,1.0,237,225,0.901294498381877,1.0,0.912396694214876,0.4067409012677519,0.0,158.30569505691528,0.2120554403767617,400,0.0589841701712705,0.0577599893577202,0.0796186706018399,0.0735753943811501,0,0,0,,exact,0.0,0.04,0.25,0.02,2.5,float64,4096.0,0.6096852441295784,0.2084280008564879,-0.0045240476812273,1.0,exact,1.0821371909932715
qep_q1p8,q=1.8,0,1.8,2,0.25,0.1213617040069966,0.4934603731181587,0.3618195829747732,0.5419800482386476,0.1993333306713472,0.0639085328504404,3.119040944623619,1223,1.0052498077619183,1.1098900348850784,0.8213763501685948,1.0,1.0,1.0,236,225,0.8956661316211878,1.0,0.9105960264900662,0.4095655771911327,0.0,157.59332299232483,0.2168882018691298,400,0.0687640678632909,0.0679138348630091,0.0462802377854169,0.0294210042854862,0,0,0,,exact,0.0,0.04,0.25,0.02,2.5,float64,4096.0,0.8944932542997559,0.2035726172120779,-0.0057791153016574,1.0,exact,1.5730339228510835
qep_q1p5,q=1.5,0,1.5,2,0.25,0.1236805033239324,0.5568205840476328,0.36873269455903,0.5780574281822601,0.1748880566080066,0.0937472475532667,1.8655273746425045,1223,1.1752693259765778,0.8488747979600304,0.8772529651753344,0.9673469387755104,1.0,0.983402489626556,245,225,0.9195402298850576,0.9914529914529916,0.9324324324324323,0.4326455728605136,0.0,185.1990158557892,0.2569833532692152,400,0.0675656715555238,0.0550406287172487,0.0403858426773243,0.003660216883145,0,0,0,,exact,0.0,0.04,0.25,0.02,2.5,float64,4096.0,1.376062744730311,0.225532489065573,0.0161737086277131,0.0,exact,11.033729411854749
qep_q1p2,q=1.2,0,1.2,2,0.25,0.1389889352554492,0.6552197009312762,0.4143722190101679,0.5999132791656705,0.1714742472118404,0.1225751048878972,1.3989320863209909,1223,1.2961912774408046,0.807207497992272,0.8610313834471089,0.9266409266409268,1.0,0.9619238476953909,259,225,0.9226973684210528,0.9813664596273292,0.9324324324324323,0.4425582705816642,0.0,250.71560287475583,0.9038653495393588,400,0.1363965339082647,0.1095495535992,0.2061737697640025,0.0001541146353114,0,0,0,,exact,0.0,0.04,0.25,0.02,2.5,float64,4096.0,1.8692022552027072,0.392529289161454,-0.0311957434998809,1.0,exact,1337.7948781270072
qep_q1p0,q=1.0,0,1.0,2,0.25,0.1222849182458469,0.5296563520754304,0.3645719915177345,0.5383084428862293,0.1837072633891338,0.0833841062186578,2.20314484042557,1223,1.130462202493919,0.9500156806279704,0.8574964453091416,0.9915966386554622,1.0,0.9957805907172996,238,225,0.9148936170212766,0.9956896551724138,0.924496644295302,0.4296608970652946,0.0,201.46793174743652,0.6477061499800763,400,0.2266955280426916,0.2360443661706779,0.1997530394936466,0.000111045762086,0,0,0,,exact,0.0,0.04,0.25,0.02,2.5,float64,4096.0,2.2067897438607744,0.5957617818847996,0.0091985756584844,1.0,exact,1798.8353246560346
gp_control,GP control,0,,2,0.25,0.1202620518676027,0.4894102619809611,0.3585411543984088,0.5319971557216859,0.1970405430641776,0.0639715379324081,3.080128279429036,1223,1.002371703958873,1.0870292868567062,0.8309778419206825,1.0,1.0,1.0,237,225,0.901294498381877,1.0,0.9105960264900662,0.4096894252883126,0.0,158.17899799346924,0.2175135684148681,400,0.0588428011328681,0.0580277481015905,0.0806827777519022,0.0735922903887695,0,0,0,,exact,0.0,0.04,0.25,0.02,2.5,float64,4096.0,0.614098683277055,0.2074594852493668,-0.0077873565366316,1.0,exact,1.0963482360132488
identity_noisy,no smoothing,0,,3,0.25,0.250549336426502,1.2101275321874758,0.746970860059915,0.9716138177602698,0.2503664813911018,0.2506271350346188,0.9989599943219198,1223,1.4847990775818414,1.07673964499339,0.7420828833809795,0.3123924268502582,1.0,0.4760655737704918,1162,225,0.6137387387387387,0.4737864077669902,0.6100558659217877,0.3814844502016062,0.0,0.0,,0,,,,,0,0,0,,exact,,,,,,,,,,,,exact,
qep_q3p0,q=3.0 (probe),1,3.0,3,0.25,0.1471417007181732,0.7097658211253587,0.4386783230151339,0.6015681972818071,0.1699052455296818,0.1363027734126476,1.246528161355198,1223,1.2062783204681544,0.8291339506783022,0.8231335018809443,0.8163934426229508,1.0,0.8989169675090252,305,225,0.9269102990033222,0.93359375,0.941880341880342,0.4329898164268305,0.0,157.32484197616577,0.2680897885860718,400,0.017223261119937,0.0183692550745375,1.467438771754976,0.6506823609329334,0,0,0,,exact,0.0,0.04,0.25,0.02,2.5,float64,4096.0,2.2389331467074154,0.2622464165863505,0.001214805550003,1.0,exact,2.255230600766549
qep_q2p0,q=2.0,0,2.0,3,0.25,0.1239870356789255,0.4994706922435336,0.3696465694074375,0.5232829169530137,0.2064905345888203,0.0613692144843874,3.364725071417563,1223,0.968499824897584,1.1387199141988205,0.809827372974787,1.0,1.0,1.0,232,225,0.888,1.0,0.9024793388429752,0.4074629743617054,0.0,157.84960889816284,0.208299009574976,400,0.0620136742030399,0.0628313184666907,0.0841358472377157,0.0738958192430061,0,0,0,,exact,0.0,0.04,0.25,0.02,2.5,float64,4096.0,0.6088072117706802,0.2056363647450825,0.0021779571104634,1.0,exact,1.1385738476088247
qep_q1p8,q=1.8,0,1.8,3,0.25,0.1248028761864766,0.5015674167718543,0.372078861163979,0.5259727114360488,0.2080167068689004,0.0615326131690774,3.3805927646420333,1223,0.9750748420226084,1.1542868736833594,0.8013990405177829,1.0,1.0,1.0,233,225,0.8849840255591054,1.0,0.8952536824877251,0.4052086045957998,0.0,158.40453791618347,0.2144136068032621,400,0.0726223875686004,0.0746590489922469,0.0525704533828182,0.0294956137038219,0,0,0,,exact,0.0,0.04,0.25,0.02,2.5,float64,4096.0,0.8988137399935123,0.1997142428425179,-0.0077762606195751,1.0,exact,1.782314275970002
qep_q1p5,q=1.5,0,1.5,3,0.25,0.1304188048089889,0.6001271313856915,0.3888218112472801,0.514752389379361,0.1791555144453926,0.1028904687433524,1.741225563781558,1223,1.1744726700806911,0.854040846220818,0.8564646149096109,0.9561752988047808,1.0,0.9775967413441956,251,225,0.915980230642504,1.0,0.935042735042735,0.4394905143422266,0.0,186.60984706878665,0.2682765811151519,400,0.0678357274385732,0.0655546625601376,0.0896105632468224,0.0031957082879302,0,0,0,,exact,0.0,0.04,0.25,0.02,2.5,float64,4096.0,1.3765322224553125,0.1988780294912735,0.0299188308869753,0.0,exact,28.040908359899607
